period,respondent,fueltype,value
2021-01-14T08,ERCO,WND,19728
2021-01-14T09,ERCO,WND,20312
2021-01-14T10,ERCO,WND,20309
2021-01-14T11,ERCO,WND,20042
2021-01-14T12,ERCO,WND,20674
2021-01-14T13,ERCO,WND,21112
2021-01-14T14,ERCO,WND,22440
2021-01-14T15,ERCO,WND,21813
2021-01-14T16,ERCO,WND,19514
2021-01-14T17,ERCO,WND,18656
2021-01-14T18,ERCO,WND,19160
2021-01-14T19,ERCO,WND,19711
2021-01-14T20,ERCO,WND,19170
2021-01-14T21,ERCO,WND,17785
2021-01-14T22,ERCO,WND,16128
2021-01-14T23,ERCO,WND,13471
2021-01-15T00,ERCO,WND,9531
2021-01-15T01,ERCO,WND,9150
2021-01-15T02,ERCO,WND,9890
2021-01-15T03,ERCO,WND,10266
2021-01-15T04,ERCO,WND,10843
2021-01-15T05,ERCO,WND,11502
2021-01-15T06,ERCO,WND,12571
2021-01-15T07,ERCO,WND,13006
2021-01-15T08,ERCO,WND,13603
2021-01-15T09,ERCO,WND,14898
2021-01-15T10,ERCO,WND,14837
2021-01-15T11,ERCO,WND,15674
2021-01-15T12,ERCO,WND,16060
2021-01-15T13,ERCO,WND,15475
2021-01-15T14,ERCO,WND,14975
2021-01-15T15,ERCO,WND,14163
2021-01-15T16,ERCO,WND,12507
2021-01-15T17,ERCO,WND,14869
2021-01-15T18,ERCO,WND,17071
2021-01-15T19,ERCO,WND,17067
2021-01-15T20,ERCO,WND,16466
2021-01-15T21,ERCO,WND,16718
2021-01-15T22,ERCO,WND,16441
2021-01-15T23,ERCO,WND,15709
2021-01-16T00,ERCO,WND,13217
2021-01-16T01,ERCO,WND,11514
2021-01-16T02,ERCO,WND,11842
2021-01-16T03,ERCO,WND,12535
2021-01-16T04,ERCO,WND,12762
2021-01-16T05,ERCO,WND,13022
2021-01-16T06,ERCO,WND,12650
2021-01-16T07,ERCO,WND,11274
2021-01-16T08,ERCO,WND,9756
2021-01-16T09,ERCO,WND,9186
2021-01-16T10,ERCO,WND,8236
2021-01-16T11,ERCO,WND,7618
2021-01-16T12,ERCO,WND,6961
2021-01-16T13,ERCO,WND,6956
2021-01-16T14,ERCO,WND,6005
2021-01-16T15,ERCO,WND,5017
2021-01-16T16,ERCO,WND,3889
2021-01-16T17,ERCO,WND,2625
2021-01-16T18,ERCO,WND,2828
2021-01-16T19,ERCO,WND,3388
2021-01-16T20,ERCO,WND,4265
2021-01-16T21,ERCO,WND,4024
2021-01-16T22,ERCO,WND,3634
2021-01-16T23,ERCO,WND,3555
2021-01-17T00,ERCO,WND,4402
2021-01-17T01,ERCO,WND,6090
2021-01-17T02,ERCO,WND,7419
2021-01-17T03,ERCO,WND,7692
2021-01-17T04,ERCO,WND,6949
2021-01-17T05,ERCO,WND,6055
2021-01-17T06,ERCO,WND,6133
2021-01-17T07,ERCO,WND,6358
2021-01-17T08,ERCO,WND,6504
2021-01-17T09,ERCO,WND,6649
2021-01-17T10,ERCO,WND,7102
2021-01-17T11,ERCO,WND,6077
2021-01-17T12,ERCO,WND,6300
2021-01-17T13,ERCO,WND,6751
2021-01-17T14,ERCO,WND,6927
2021-01-17T15,ERCO,WND,6164
2021-01-17T16,ERCO,WND,3756
2021-01-17T17,ERCO,WND,2772
2021-01-17T18,ERCO,WND,3223
2021-01-17T19,ERCO,WND,2514
2021-01-17T20,ERCO,WND,1599
2021-01-17T21,ERCO,WND,1183
2021-01-17T22,ERCO,WND,953
2021-01-17T23,ERCO,WND,1162
2021-01-18T00,ERCO,WND,1522
2021-01-18T01,ERCO,WND,2419
2021-01-18T02,ERCO,WND,4300
2021-01-18T03,ERCO,WND,6801
2021-01-18T04,ERCO,WND,9374
2021-01-18T05,ERCO,WND,11684
2021-01-18T06,ERCO,WND,14670
2021-01-18T07,ERCO,WND,17266
2021-01-18T08,ERCO,WND,19110
2021-01-18T09,ERCO,WND,19874
2021-01-18T10,ERCO,WND,20235
2021-01-18T11,ERCO,WND,20496
2021-01-18T12,ERCO,WND,20348
2021-01-18T13,ERCO,WND,19576
2021-01-18T14,ERCO,WND,19372
2021-01-18T15,ERCO,WND,19539
2021-01-18T16,ERCO,WND,17118
2021-01-18T17,ERCO,WND,16813
2021-01-18T18,ERCO,WND,16638
2021-01-18T19,ERCO,WND,15766
2021-01-18T20,ERCO,WND,14388
2021-01-18T21,ERCO,WND,13207
2021-01-18T22,ERCO,WND,12840
2021-01-18T23,ERCO,WND,13273
2021-01-19T00,ERCO,WND,15113
2021-01-19T01,ERCO,WND,18404
2021-01-19T02,ERCO,WND,20258
2021-01-19T03,ERCO,WND,20706
2021-01-19T04,ERCO,WND,20648
2021-01-19T05,ERCO,WND,20531
2021-01-19T06,ERCO,WND,20103
2021-01-19T07,ERCO,WND,19127
2021-01-19T08,ERCO,WND,18594
2021-01-19T09,ERCO,WND,18136
2021-01-19T10,ERCO,WND,17873
2021-01-19T11,ERCO,WND,18033
2021-01-19T12,ERCO,WND,18873
2021-01-19T13,ERCO,WND,18756
2021-01-19T14,ERCO,WND,18239
2021-01-19T15,ERCO,WND,17418
2021-01-19T16,ERCO,WND,18376
2021-01-19T17,ERCO,WND,19655
2021-01-19T18,ERCO,WND,20016
2021-01-19T19,ERCO,WND,20251
2021-01-19T20,ERCO,WND,19900
2021-01-19T21,ERCO,WND,19569
2021-01-19T22,ERCO,WND,19344
2021-01-19T23,ERCO,WND,17995
2021-01-20T00,ERCO,WND,16150
2021-01-20T01,ERCO,WND,13833
2021-01-20T02,ERCO,WND,11776
2021-01-20T03,ERCO,WND,9994
2021-01-20T04,ERCO,WND,8112
2021-01-20T05,ERCO,WND,6805
2021-01-20T06,ERCO,WND,5479
2021-01-20T07,ERCO,WND,3888
2021-01-20T08,ERCO,WND,3330
2021-01-20T09,ERCO,WND,3326
2021-01-20T10,ERCO,WND,2891
2021-01-20T11,ERCO,WND,2951
2021-01-20T12,ERCO,WND,3426
2021-01-20T13,ERCO,WND,3529
2021-01-20T14,ERCO,WND,3983
2021-01-20T15,ERCO,WND,4065
2021-01-20T16,ERCO,WND,3887
2021-01-20T17,ERCO,WND,4582
2021-01-20T18,ERCO,WND,5252
2021-01-20T19,ERCO,WND,5735
2021-01-20T20,ERCO,WND,5912
2021-01-20T21,ERCO,WND,5860
2021-01-20T22,ERCO,WND,5660
2021-01-20T23,ERCO,WND,5269
2021-01-21T00,ERCO,WND,5522
2021-01-21T01,ERCO,WND,7107
2021-01-21T02,ERCO,WND,10201
2021-01-21T03,ERCO,WND,11956
2021-01-21T04,ERCO,WND,12296
2021-01-21T05,ERCO,WND,12669
2021-01-21T06,ERCO,WND,13002
2021-01-21T07,ERCO,WND,13404
2021-01-21T08,ERCO,WND,13630
2021-01-21T09,ERCO,WND,13537
2021-01-21T10,ERCO,WND,13571
2021-01-21T11,ERCO,WND,13694
2021-01-21T12,ERCO,WND,13021
2021-01-21T13,ERCO,WND,12057
2021-01-21T14,ERCO,WND,10445
2021-01-21T15,ERCO,WND,8590
2021-01-21T16,ERCO,WND,7471
2021-01-21T17,ERCO,WND,5600
2021-01-21T18,ERCO,WND,4413
2021-01-21T19,ERCO,WND,3355
2021-01-21T20,ERCO,WND,2695
2021-01-21T21,ERCO,WND,2414
2021-01-21T22,ERCO,WND,3109
2021-01-21T23,ERCO,WND,3696
2021-01-22T00,ERCO,WND,3565
2021-01-22T01,ERCO,WND,3999
2021-01-22T02,ERCO,WND,4684
2021-01-22T03,ERCO,WND,5688
2021-01-22T04,ERCO,WND,5659
2021-01-22T05,ERCO,WND,6478
2021-01-22T06,ERCO,WND,7563
2021-01-22T07,ERCO,WND,8670
2021-01-22T08,ERCO,WND,7951
2021-01-22T09,ERCO,WND,6674
2021-01-22T10,ERCO,WND,6092
2021-01-22T11,ERCO,WND,5934
2021-01-22T12,ERCO,WND,6221
2021-01-22T13,ERCO,WND,6132
2021-01-22T14,ERCO,WND,6365
2021-01-22T15,ERCO,WND,5780
2021-01-22T16,ERCO,WND,4010
2021-01-22T17,ERCO,WND,2790
2021-01-22T18,ERCO,WND,2074
2021-01-22T19,ERCO,WND,1401
2021-01-22T20,ERCO,WND,1016
2021-01-22T21,ERCO,WND,969
2021-01-22T22,ERCO,WND,985
2021-01-22T23,ERCO,WND,1096
2021-01-23T00,ERCO,WND,1562
2021-01-23T01,ERCO,WND,2554
2021-01-23T02,ERCO,WND,3632
