period,respondent,fueltype,value
2021-01-10T17,ERCO,SUN,493
2021-01-10T18,ERCO,SUN,712
2021-01-10T19,ERCO,SUN,745
2021-01-10T20,ERCO,SUN,854
2021-01-10T21,ERCO,SUN,899
2021-01-10T22,ERCO,SUN,761
2021-01-10T23,ERCO,SUN,442
2021-01-11T00,ERCO,SUN,97
2021-01-11T01,ERCO,SUN,0
2021-01-11T02,ERCO,SUN,0
2021-01-11T03,ERCO,SUN,0
2021-01-11T04,ERCO,SUN,0
2021-01-11T05,ERCO,SUN,0
2021-01-11T06,ERCO,SUN,0
2021-01-11T07,ERCO,SUN,0
2021-01-11T08,ERCO,SUN,0
2021-01-11T09,ERCO,SUN,0
2021-01-11T10,ERCO,SUN,0
2021-01-11T11,ERCO,SUN,0
2021-01-11T12,ERCO,SUN,0
2021-01-11T13,ERCO,SUN,0
2021-01-11T14,ERCO,SUN,3
2021-01-11T15,ERCO,SUN,405
2021-01-11T16,ERCO,SUN,1306
2021-01-11T17,ERCO,SUN,2053
2021-01-11T18,ERCO,SUN,2109
2021-01-11T19,ERCO,SUN,2292
2021-01-11T20,ERCO,SUN,2427
2021-01-11T21,ERCO,SUN,2319
2021-01-11T22,ERCO,SUN,1908
2021-01-11T23,ERCO,SUN,1379
2021-01-12T00,ERCO,SUN,298
2021-01-12T01,ERCO,SUN,0
2021-01-12T02,ERCO,SUN,0
2021-01-12T03,ERCO,SUN,0
2021-01-12T04,ERCO,SUN,0
2021-01-12T05,ERCO,SUN,0
2021-01-12T06,ERCO,SUN,0
2021-01-12T07,ERCO,SUN,0
2021-01-12T08,ERCO,SUN,0
2021-01-12T09,ERCO,SUN,0
2021-01-12T10,ERCO,SUN,0
2021-01-12T11,ERCO,SUN,0
2021-01-12T12,ERCO,SUN,0
2021-01-12T13,ERCO,SUN,0
2021-01-12T14,ERCO,SUN,12
2021-01-12T15,ERCO,SUN,823
2021-01-12T16,ERCO,SUN,3004
2021-01-12T17,ERCO,SUN,3556
2021-01-12T18,ERCO,SUN,3543
2021-01-12T19,ERCO,SUN,3632
2021-01-12T20,ERCO,SUN,3802
2021-01-12T21,ERCO,SUN,3865
2021-01-12T22,ERCO,SUN,3831
2021-01-12T23,ERCO,SUN,3228
2021-01-13T00,ERCO,SUN,782
2021-01-13T01,ERCO,SUN,1
2021-01-13T02,ERCO,SUN,0
2021-01-13T03,ERCO,SUN,0
2021-01-13T04,ERCO,SUN,0
2021-01-13T05,ERCO,SUN,0
2021-01-13T06,ERCO,SUN,0
2021-01-13T07,ERCO,SUN,0
2021-01-13T08,ERCO,SUN,0
2021-01-13T09,ERCO,SUN,0
2021-01-13T10,ERCO,SUN,0
2021-01-13T11,ERCO,SUN,0
2021-01-13T12,ERCO,SUN,0
2021-01-13T13,ERCO,SUN,0
2021-01-13T14,ERCO,SUN,15
2021-01-13T15,ERCO,SUN,1293
2021-01-13T16,ERCO,SUN,3641
2021-01-13T17,ERCO,SUN,4024
2021-01-13T18,ERCO,SUN,3963
2021-01-13T19,ERCO,SUN,3830
2021-01-13T20,ERCO,SUN,3918
2021-01-13T21,ERCO,SUN,4001
2021-01-13T22,ERCO,SUN,4093
2021-01-13T23,ERCO,SUN,3383
2021-01-14T00,ERCO,SUN,813
2021-01-14T01,ERCO,SUN,2
2021-01-14T02,ERCO,SUN,0
2021-01-14T03,ERCO,SUN,0
2021-01-14T04,ERCO,SUN,0
2021-01-14T05,ERCO,SUN,0
2021-01-14T06,ERCO,SUN,0
2021-01-14T07,ERCO,SUN,0
2021-01-14T08,ERCO,SUN,0
2021-01-14T09,ERCO,SUN,0
2021-01-14T10,ERCO,SUN,0
2021-01-14T11,ERCO,SUN,0
2021-01-14T12,ERCO,SUN,0
2021-01-14T13,ERCO,SUN,0
2021-01-14T14,ERCO,SUN,13
2021-01-14T15,ERCO,SUN,595
2021-01-14T16,ERCO,SUN,1071
2021-01-14T17,ERCO,SUN,1159
2021-01-14T18,ERCO,SUN,1180
2021-01-14T19,ERCO,SUN,1203
2021-01-14T20,ERCO,SUN,1281
2021-01-14T21,ERCO,SUN,1824
2021-01-14T22,ERCO,SUN,2543
2021-01-14T23,ERCO,SUN,2306
2021-01-15T00,ERCO,SUN,769
2021-01-15T01,ERCO,SUN,5
2021-01-15T02,ERCO,SUN,0
2021-01-15T03,ERCO,SUN,0
2021-01-15T04,ERCO,SUN,0
2021-01-15T05,ERCO,SUN,0
2021-01-15T06,ERCO,SUN,0
2021-01-15T07,ERCO,SUN,0
2021-01-15T08,ERCO,SUN,0
2021-01-15T09,ERCO,SUN,0
2021-01-15T10,ERCO,SUN,0
2021-01-15T11,ERCO,SUN,0
2021-01-15T12,ERCO,SUN,0
2021-01-15T13,ERCO,SUN,0
2021-01-15T14,ERCO,SUN,14
2021-01-15T15,ERCO,SUN,1170
2021-01-15T16,ERCO,SUN,3590
2021-01-15T17,ERCO,SUN,4195
2021-01-15T18,ERCO,SUN,4181
2021-01-15T19,ERCO,SUN,4095
2021-01-15T20,ERCO,SUN,4160
2021-01-15T21,ERCO,SUN,4326
2021-01-15T22,ERCO,SUN,4275
2021-01-15T23,ERCO,SUN,3502
2021-01-16T00,ERCO,SUN,908
2021-01-16T01,ERCO,SUN,2
2021-01-16T02,ERCO,SUN,0
2021-01-16T03,ERCO,SUN,0
2021-01-16T04,ERCO,SUN,0
2021-01-16T05,ERCO,SUN,0
2021-01-16T06,ERCO,SUN,0
2021-01-16T07,ERCO,SUN,0
2021-01-16T08,ERCO,SUN,0
2021-01-16T09,ERCO,SUN,0
2021-01-16T10,ERCO,SUN,0
2021-01-16T11,ERCO,SUN,0
2021-01-16T12,ERCO,SUN,0
2021-01-16T13,ERCO,SUN,0
2021-01-16T14,ERCO,SUN,12
2021-01-16T15,ERCO,SUN,1308
2021-01-16T16,ERCO,SUN,3787
2021-01-16T17,ERCO,SUN,4193
2021-01-16T18,ERCO,SUN,4026
2021-01-16T19,ERCO,SUN,3910
2021-01-16T20,ERCO,SUN,3728
2021-01-16T21,ERCO,SUN,3347
2021-01-16T22,ERCO,SUN,2272
2021-01-16T23,ERCO,SUN,861
2021-01-17T00,ERCO,SUN,214
2021-01-17T01,ERCO,SUN,1
2021-01-17T02,ERCO,SUN,0
2021-01-17T03,ERCO,SUN,0
2021-01-17T04,ERCO,SUN,0
2021-01-17T05,ERCO,SUN,0
2021-01-17T06,ERCO,SUN,0
2021-01-17T07,ERCO,SUN,0
2021-01-17T08,ERCO,SUN,0
2021-01-17T09,ERCO,SUN,0
2021-01-17T10,ERCO,SUN,0
2021-01-17T11,ERCO,SUN,0
2021-01-17T12,ERCO,SUN,0
2021-01-17T13,ERCO,SUN,0
2021-01-17T14,ERCO,SUN,9
2021-01-17T15,ERCO,SUN,1077
2021-01-17T16,ERCO,SUN,3244
2021-01-17T17,ERCO,SUN,3761
2021-01-17T18,ERCO,SUN,3746
2021-01-17T19,ERCO,SUN,3756
2021-01-17T20,ERCO,SUN,3909
2021-01-17T21,ERCO,SUN,4082
2021-01-17T22,ERCO,SUN,4155
2021-01-17T23,ERCO,SUN,3348
2021-01-18T00,ERCO,SUN,885
2021-01-18T01,ERCO,SUN,5
